"display_title" "opening_date" "publication_date" "url" "critics_pick" "review" "sentiment_score" "genre.x" "MPAA_rating" "distributor" "production_budget" "opening_weekend" "domestic_total_gross" "foreign_box_office" "widest_release_theaters" "release_date" "close_date" "in_release_days" "in_release_weeks"
The story line is well-trod, and reminiscent in parts of “The Revenant,” “Mountain Men” and several other films that take place in rough country. Yet Mr. Bomer and Mr. Wiggins are proficient with the sparse dialogue (written by the brothers and directors Alex and Andrew Smith, from a short story by David Quammen), and with situations that are occasionally contrived.
Though it’s not high praise to describe the movie as watchable, it’s no rebuke either. The biggest stars here are the Montana locations. They are catnip to the cinematographer, Todd McMullen, who rarely misses a chance to frame the landscape at ground level and from above.
For a largely two-man drama (Bill Pullman appears in flashbacks as Cal’s father) “Walking Out” acquits itself well enough — serviceable is another apt description. The survival story, you’ve seen before. The scenery, you can’t see enough of." 0.242170116 "Adventure" "PG-13" "IFC" "" "$5,462 " "$101,947 " "" "14" "9-Mar-01" "3-May-01" "" NA
"341" "War for the Planet of the Apes" "7/14/2017" "7/12/2017" "http://www.nytimes.com/2017/07/12/movies/war-for-the-planet-of-the-apes-review.html" 1 "There is a scene toward the end of “War for the Planet of the Apes” that is as vivid and haunting as anything I’ve seen in a Hollywood blockbuster in ages, a moment of rousing and dreadful cinematic clarity that I don’t expect to shake off any time soon. I’ll tread lightly, but I don’t think anything I say here can spoil its power.
Two groups of humans have just battled, and the victors, having slaughtered the enemy, burst into raucous cheers. It’s the kind of thing we’ve seen in movies dozens of times before: the cheapening of mass death into an easy win for the good guys. Except that in this case we, the humans in the theater seats, are not the only ones watching. A crowd of apes is also present, an emerging society whose national epic this film and its companions have marvelously and improbably become. The apes pause to witness the aftermath of the carnage they have narrowly escaped, and their wordless, shocked response, registered above all on the face of Caesar, their leader, is an eloquent rebuke to a species that has abandoned any but a biological claim to the name human.
Recall that “ape not kill ape” is the political and moral foundation of ape civilization, handed down by Caesar, their Moses, though he hasn’t always obeyed this commandment. The spectacle of people’s rejoicing in the destruction of their own kind is upsetting, and as the audience absorbs the apes’ shock, we become aware of another, deeper unease. We are now, three movies into this reborn franchise, entirely on the side of the apes. The prospect of our own extinction, far from horrifying, comes as a relief. At last the poor planet will catch a break.
Or, to put it another way, Koba was right.
If you saw “Dawn of the Planet of the Apes” — the second chapter in the series so far, bridging “Rise” and “War” — you may recall that poor, abused laboratory chimp’s evolution from victim to nemesis. The damage Koba had suffered at the hands of humans made him intolerant and fanatical, an embodiment of political extremism who needed to be checked, and ultimately destroyed, by Caesar, whose political temperament tended toward moderation and compromise. Their conflict was mirrored by a struggle on the human side between a genocidal, ape-hating military commander and a rival leader who believed in coexistence.
“Dawn,” like “Rise” before it, rested on a hopeful, slightly hokey message of interspecies harmony. In spite of their differences and mutual suspicions, maybe the two primate societies, one coalescing while the other slid toward chaos, could share the Earth, or at least the stretch of Northern California forest where this franchise plants its allegorical flag.
Times change. “War for the Planet of the Apes,” directed by Matt Reeves, is the grimmest episode so far, and also the strongest, a superb example — rare in this era of sloppily constructed, commercially hedged cinematic universes — of clear thinking wedded to inventive technique in popular filmmaking. The distinction of this run of “Planet of the Apes” movies has been its commitment to the venerable belief that science fiction belongs to the literature of ideas, and its willingness to risk seeming to take itself too seriously. Each episode has pursued a stark ethical or political problem, and each has shifted the moral ground from human to ape.
“Rise” was about how people treat and mistreat animals, about the tension between recognizing them as sentient beings and the long habit of exploiting and confining them. “Dawn” was a wishful parable of decolonization and counterinsurgency, concerned with the competing but equally legitimate claims of two tribes occupying adjacent territory. “War” — which, in spite of its title, is less a war film than a western wrapped around a prison movie — vindicates Koba’s view of humanity as irredeemably cruel and deceitful.
The memory of Koba’s own treachery is kept alive, as some of his followers have drifted from militant anti-Caesarism to collaboration with the enemy species. There is a new nemesis in town, a renegade colonel played by Woody Harrelson, who goes full Heart of Darkness, staging a one-man remake of “Apocalypse Now” in a medical base he has refashioned into a concentration camp. He has Marlon Brando’s clean-shaven dome, Robert Duvall’s mirrored sunglasses and Dennis Hopper’s manic verbosity. The horror! The horror!
Really, though, it’s a lot of fun, in spite of the somber picture I’ve been painting. Mr. Reeves, who also directed “Dawn,” has a dark vision, but also a light touch when necessary, and, above all, a commitment to creating a world that is coherent as well as fantastical. This world is also intensely and somewhat unimaginatively masculine. The default setting for primate social organization in these movies, human and otherwise, is patriarchal, and while a few female apes and a young human girl appear on screen, the filmmakers’ inability to flesh out the familial and affective dimensions of an otherwise richly rendered reality is frustrating.
But still, the motion-captured, digitally sculpted apes are so natural, so expressive, so beautifully integrated into their environment, that you almost forget to be astonished by the nuances of thought and emotion that flicker across their faces, often seen in close-up. Andy Serkis’s performance as Caesar is one of the marvels of modern screen acting, and it’s complemented by those of Karin Konoval, reprising her role as the wise orangutan Maurice, and Steve Zahn, as a sad-clown sidekick named Bad Ape.
Caesar and Maurice communicate in primitive English and sign language, and for long stretches their adventures unfold without much human interaction, though they do adopt a mute human orphan (Amiah Miller) shortly before they meet Bad Ape. Our ilk is in a bad way, and not only because of the fanatical, desperate militarism represented by the Colonel. A new strain of virus is robbing people of their ability to speak, accelerating a reversal of species hierarchy set in motion two movies ago when Caesar first howled the word “no.”
He is a grayer, sadder hero now, and in “War” he succumbs for a while to a vengeful impulse at odds with his essential high-mindedness. You could say that he is putting his humanity at risk, or that he’s only human, after all, but of course both descriptions would be absurd. We’ll have to come up with a new vocabulary, but while we still have this one — and while flesh-and-blood people are still directing digital gorillas and chimps — I’ll just say that it’s good to see a movie so thoroughly humane." 0.999839619 "Action" "PG-13" "Fox" "$150,000,000 " "$56,262,929 " "$146,880,162 " "" "1,859" "24-Jun-94" "" "" NA
"342" "We Are the Flesh" "1/20/2017" "1/19/2017" "http://www.nytimes.com/2017/01/19/movies/we-are-the-flesh-review.html" 0 "“We Are the Flesh,” the debut feature by the Mexican writer and director Emiliano Rocha Minter, is set some time after the end of civilization (or so it seems — stick around for the “twist” ending). The movie finds young adults, a brother and sister (Diego Gamaliel and Maria Evoli), coming upon and forming an alliance with a hermit (Noé Hernández) in a vacant apartment building.
Incest, menstrual-blood play, torture and cannibalism ensue. The Mexican national anthem is sung by the characters during a particularly fraught sequence, to let you know that the whole thing is a metaphor. And a classical piece by Bach accompanies a flesh-eating orgy to let you know that the director has seen “A Clockwork Orange.”
The obvious precursor to Mr. Hernández’s character is Coffin Joe, the sadistic anti-messiah in a series of grimy, powerful 1960s films by the Brazilian director and actor José Mojica Marins.
Pier Paolo Pasolini and Catherine Breillat are other apparent reference points, but those artists, for all their sophistication, produced work seemingly animated by raw anger. “We Are the Flesh,” its abundance of repellent imagery notwithstanding, has an air of the academic about it. That is, its lead performer, Mr. Hernández, comes off like that obnoxious fellow in your college acting class who “spontaneously” sheds all his clothes during the first stretching exercise, while Mr. Rocha Minter takes the role of the guy in your M.F.A. program who is maybe a little too eager to demonstrate that he can outdo the radical French intellectual Georges Bataille.
Mr. Rocha Minter, who is in his 20s, has obvious filmmaking talent, but he is also, to judge by this evidence, a sensationalist dilettante with a mean streak. He should go far in the business." 0.307836509 "Drama" "Unrated" "Arrow Films" "" "$10,805 " "$121,390 " "$22,736,911 " "13" "9-May-08" "23-Oct-08" "168" 24
"343" "Wet Woman in the Wind" "11/17/2017" "11/16/2017" "http://www.nytimes.com/2017/11/16/movies/wet-woman-in-the-wind-review.html" 0 "The characters in this Japanese sex comedy include a successful playwright who’s trying to get his head together in the country and his buddy, a local handyman. Then there’s the proprietor of a coffee shop who can’t seem to keep his mind on his business, and a server at said coffee shop, who may or may not be the proprietor’s mistress — but who definitely has an amorous interest in the playwright.
The setup and characters are a little reminiscent of a film by the Korean anatomist of bad romance Hong Sang-soo. But this isn’t any such thing.
“Wet Woman in the Wind,” directed by Akihiko Shiota, is more concerned with sex than sexual neuroses. The movie is one of several recent postmodern reboots of what has been called “roman porno,” a subgenre of erotic cinema that was very popular in Japan in the 1970s and ’80s. These were cheaply made soft-core pictures that could get away with a lot of aesthetic quirkiness, on account of also featuring images of half-naked women like clockwork. Nikkatsu, the studio that pioneered the form, is now commissioning new films as a kind of cheeky self-homage.
But let’s make no bones about it: This is a film designed to appeal to straight male prurient interest. Yuki Mamiya, who plays Shiori, the title character, has a smoldering quality that fills the bill. Much less winning is the way the movie treats consent, as in the playwright’s rough “seduction” of a very young fan. Genre homage or not, trashy, assault-coddling sexism is a turn off — and worse. Perhaps the “roman porno” reboot project should have rebooted its sexual politics before calling “action!”" 0.173610172 "Drama" "Unrated" "MUBI" "" "" "" "" "" "3-Mar-82" "" "" NA
"344" "Whisky Galore" "5/12/2017" "5/11/2017" "http://www.nytimes.com/2017/05/11/movies/whisky-galore-review-eddie-izzard.html" 0 "If you’re going to remake a classic Scottish comedy, then you’d better have something fresh hidden up your kilt to make the effort worthwhile. And given that the original “Whisky Galore!” — Alexander Mackendrick’s warmly funny 1949 tale of fictional Hebridean islanders driven to lawlessness after their wartime ration of whisky runs out — is well nigh unimprovable, the director Gillies MacKinnon has his work cut out.
Beyond simple nostalgia, though, the appeal of this limp retread is difficult to discern. Peter McDougall’s screenplay (once again based on the novel by Compton Mackenzie, which in turn was inspired by a 1941 shipwreck in the Outer Hebrides) resurrects key plot points without any obvious attempt to refresh or modernize. References to the Raj and Wallis Simpson might have slayed in 1949, but 21st-century audiences are unlikely to get the joke.
As Macroon, the film’s narrator and the island’s widowed postmaster, Gregor Fisher leads a cast that’s ill-served by the musty script. Whether rushing to salvage the cases of Scotch newly liberated from a foundering cargo ship, or scrambling to hide their spoils from a bumbling Home Guard captain (Eddie Izzard, creamy English vowels at the ready), the islanders are as uninteresting as Macroon’s woolly cardigans.
Filmed on the northern coast of Aberdeenshire, “Whisky Galore!” — unlike the liquid it lusts after — is dry, dull and without kick or color. Gone is the original’s joyful sense of mischief; what’s left is an inoffensive piece of twaddle that never fully appreciates the ineluctable bond between community spirit and a drop of the hard stuff." 0.029270349 "Comedy" "Not Yet Rated" "Arrow Films" "" "$13,922 " "$256,249 " "$12,434,000 " "1,509" "30-Oct-15" "19-Nov-15" "21" 3
"345" "Whose Streets?" "8/11/2017" "8/10/2017" "http://www.nytimes.com/2017/08/10/movies/whose-streets-review.html" 0 "“Whose Streets?,” a documentary about the unrest and activism in Ferguson, Mo., in the wake of the 2014 police shooting of Michael Brown, an unarmed black teenager, is choppy, sometimes unfocused, and in every respect the opposite of slick. Its directors, Sabaah Folayan and Damon Davis, are novice filmmakers, true; but I also suspect this movie’s form is deliberate, part of its message. This is direct and frequently powerful filmmaking that doesn’t much care about meeting my aesthetic standards.
“Whose Streets?” takes off from the night Mr. Brown was shot. One of the movie’s subjects is David Whitt, a resident of the apartment complex on the street where the shooting took place, who is moved to take his video camera onto the streets to record police action as rioting started. Another thread follows Brittany Ferrell and Alexis Templeton, a couple navigating parenthood and school, and putting themselves at considerable risk as they lead and participate in demonstrations like one in which they formed a human chain to block traffic on a highway.
The movie is punctuated with quotes by black historical figures — Martin Luther King Jr.’s observation that “a riot is the language of the unheard” is particularly resonant. Much of the footage is from low-resolution video cameras and cellphones; the most professional-looking material here is from a television interview with Officer Darren Wilson, who shot Mr. Brown, in which he says, “You can’t perform the duties of a police officer and have racism in you.” This is shown in the same section that features on-the-fly shots of off-duty St. Louis police officers puffing their chests at activists at a town hall meeting. Another wrenching scene shows a protester trying to address a black female officer, the only person of color in a defensive line of cops; she holds her position even as tears fill her eyes." 0.648160988 "Documentary" "R" "Magnolia" "" "$43,804 " "$182,799 " "" "32" "14-Mar-14" "15-May-14" "63" 9
"346" "Wilson" "3/24/2017" "3/22/2017" "http://www.nytimes.com/2017/03/22/movies/wilson-review-with-woody-harrelson.html" 0 "Wilson — it’s not clear if that’s his first or last name — is a misanthrope with a sentimental streak, a guy whose grouchiness is leavened by oddball touches of Minnesota Nice. He is furiously disdainful of most of the people he meets, but also has a habit of sidling up to them and initiating awkward conversations with a smile halfway between a snarl and a leer. Humanity annoys him, and he’s happy to return the favor.
Which makes him, on paper, an intriguing character. By “on paper” I mean, specifically, in the pages of Daniel Clowes’s graphic novel “Wilson,” a funny-sad, episodic portrait of everyday loneliness and longing. American literature — and American comic-book literature in particular — hardly lacks for disaffected, middle-age white guys, but Wilson has his own special brand of abrasive charm.
Not onscreen, though. The movie version of “Wilson,” directed by Craig Johnson (“The Skeleton Twins”) from a screenplay by Mr. Clowes, illustrates the difficulty of translating an idiosyncratic temperament from one visual medium to another. The dark, comic poignancy of the book is drowned in garish, self-conscious whimsy, and the work of a talented ensemble is squandered on awkward heartstring snatching.
Wide-eyed and gaptoothed, with heavy-framed glasses and a copper-and-silver beard, Woody Harrelson plays Wilson as a kinetic ball of conflicting impulses. He’s unpleasant, but not in an especially interesting way, and ingratiating in a way that’s even drearier. The other people in Wilson’s life — his foils, enablers and marks — are played by capable actors. Laura Dern is his wayward ex-wife, Pippi. Cheryl Hines is her judgy sister, Polly. Judy Greer is Wilson’s dog-sitter, and Isabella Amara is the almost-grown daughter he never knew he had. Mary Lynn Rajskub and the character actress Margo Martindale each have a few minutes of screen time.
As is often the case with well-intentioned, misbegotten projects, you’re happy to see them even as you wonder how they ended up here. The same is true of the composer Jon Brion, a usually brilliant musical artist whose score in this case is an unpalatable cocktail of jauntiness and melodrama, swamping the action rather than complementing it.
Antic, joyless and sloppy, “Wilson” tries to provoke and beguile you, but the best you can manage is to feel sorry for it." 0.218562893 "Comedy" "R" "Fox Searchlight" "" "$336,227 " "$653,951 " "" "2" "16-Jul-99" "29-Jul-99" "" NA
"347" "Wind River" "8/4/2017" "8/3/2017" "http://www.nytimes.com/2017/08/03/movies/wind-river-review-jeremy-renner-elizabeth-olsen.html" 1 "Taylor Sheridan, the screenwriter of last year’s socially conscious crime drama “Hell or High Water,” proves an undeniably strong director with his second effort in that job, “Wind River.” The movie opens on a breathtaking night sky and snow-capped mountains, with a young woman running over a long stretch of open land. “There’s a meadow in my perfect world,” a female voice says. The juxtaposition of the imagery and the poetics make for a peculiar opening. Eventually it all makes tragic sense.
Here, Jeremy Renner plays Cory Lambert, a federal wildlife officer who hunts predatory animals at the Wind River Indian Reservation in Wyoming. He seems on intimate terms with the residents there; his ex-wife, with whom he has a young son and had a daughter, is a Native American with family on the reservation. While searching for a mountain lion that has been attacking livestock, he finds a corpse frozen in the mountain snow. The dead young woman, who suffered a head injury and was also raped, was the best friend of Cory’s daughter, who died three years earlier under similar circumstances.
Homicide on an Indian reservation, as it happens, is a federal crime. The F.B.I. — which, going by the attitude of the reservation’s quiet police chief, is consistently less helpful than it should be — dispatches Jane Banner (Elizabeth Olsen), a seemingly very green agent, to head the investigation. She shows up wearing an F.B.I. windbreaker, and Cory calmly informs her that she’ll be dead within five minutes if she goes up the mountain dressed like that.
“See what they send us,” one resident says mournfully, shaking his head. In a different movie, the introduction of Jane and Cory would be a meet-cute. But Mr. Sheridan, who also avoided injecting a romantic theme into his script for “Sicario,” in which Emily Blunt played an F.B.I. operative, has different, more serious reasons for making this character a woman. Jane acts partly as an audience surrogate, a well-intentioned outsider whose empathy and sincere desire to act on behalf of the female murder victim only gets her so far.
The case lights up a cold fury in Cory. He reassures the victim’s father, “I’m a hunter.” He demonstrates to Jane that in this terrain, it’s the landscape that will yield the most important answers, not the frequently recalcitrant Indians whom Jane wants to interview. He’s right, of course, and his wisdom is borne out in some gut-wrenching ways.
Under David Mackenzie’s direction, “Hell or High Water” tended to overstate its hard-times-in-the-United-States theme; it seemed that every fifth shot or so showed a house foreclosure sale sign or a bankruptcy lawyer’s billboard. As a director, Mr. Sheridan is a little more subtle than Mr. Mackenzie. This is kind of surprising; frequently, writers turned directors really like to bring the hammer down on their subtexts. But Mr. Sheridan limits himself to one shot of an American flag being flown upside down. Other than that, he lets the terrible situation on the reservation speak for itself. An actor before he was a screenwriter, Mr. Sheridan clearly spent a lot of his time learning about filmmaking on movie sets; his direction is assured throughout. A standoff scene near the movie’s finale would not be shamed if put next to one of Michael Mann’s better set pieces.
The performances Mr. Sheridan draws from his cast are all excellent. Mr. Renner, who’s been spending too much of his career imparting convincing humanity to a second-tier Marvel superhero, is in excellent form as Cory. Ms. Olsen, who has been co-starring in those Marvel films with Mr. Renner, is sympathetic as Jane. Graham Greene brings his customary quiet power and dry wit to the role of the police chief.
The movie builds to a shocking climax, even though the revelation of the bad guys makes immediate, sickening sense. The film’s ultimate statement sinks in later, with an expanded awareness that the justice done by the good guys in this film is not nearly sufficient with respect to the larger injustice done to Native Americans." 0.988745723 "Action" "R" "Weinstein Company" "$11,000,000 " "" "$33,800,859 " "" "944" "7-Aug-87" "" "" NA
"348" "Wish Upon" "7/14/2017" "7/13/2017" "http://www.nytimes.com/2017/07/13/movies/wish-upon-review.html" 0 "The recycling of narratives is hardly unique to horror movies, but it does sometimes seem that what should be the most fertile of genres — there are, after all, virtually unlimited ways in which monstrousness can be unleashed in the world — is disproportionally afflicted.
So by this point, a horror heroine who finds a strange box — even one that offers to grant wishes — shouldn’t require a degree in Greek mythology to steer well clear. Not Clare (Joey King), though, the wistful teenager in “Wish Upon” who’s traumatized by what she believes was her mother’s suicide many years earlier. Embarrassed by her Dumpster-diving father (Ryan Phillippe) and hounded by the resident high school meanie, Clare wishes only to be rich, popular and adored by her hunky crush. Maybe this funny-looking music box covered in Chinese characters can help?
As directed by John R. Leonetti, “Wish Upon” would rather make you jump than gag. The splatter is deployed cautiously and sometimes wittily, the story moving briskly from wishes granted to costs exacted with the help of familiar faces (including a warm Sherilyn Fenn as Clare’s surrogate mother) and a sympathetic lead. Pressing gently on the bruise of a broken home to explain Clare’s addiction to the evil receptacle (in a move that recalls “The Possession” a few years back), Barbara Marshall’s zippy script cuts corners without severing its bond to Clare’s emotions. Unlike Pandora, Ms. Marshall prefers to release a little bit of hope." 0.012098068 "Fantasy" "PG-13" "Broad Green Pictures" "$12,000,000 " "$5,467,084 " "$14,301,505 " "" "207" "8-Mar-02" "26-Sep-02" "" NA
"349" "Wolves" "3/3/2017" "3/1/2017" "http://www.nytimes.com/2017/03/01/movies/wolves-review.html" 0 "For two-thirds of the way, “Wolves” is a decent high school sports movie thanks to actors who are really committed to its somewhat formulaic characters. But then it’s as if Bart Freundlich, who wrote and directed, loses confidence in the performances and decides he’d better throw in every cliché in the genre.
Anthony (Taylor John Smith) is a basketball star at a private high school in New York who is good enough to be drawing interest from Cornell. The league championship game is looming, but Anthony has distractions, many of them caused by his father (Michael Shannon), whose drinking and gambling are spiraling out of control.
This is stock plotting — the athlete sidetracked by domestic matters at a crucial moment — but Mr. Smith and especially Mr. Shannon sell the conceit well, aided by fine performances from Carla Gugino as Anthony’s mother and Zazie Beetz as his girlfriend. Yet just when the film seems as if it will choose the road rarely taken by movies involving sports — the subtle road, the one that doesn’t involve last-second heroics on the court or diamond or field — Mr. Freundlich veers into thudding excess.
Suddenly Anthony has more than his father to worry about, and the adversity just keeps piling up, building to a ridiculously improbable climax. Too bad — the actors do nice work before things derail." 0.640267115 "Drama" "R" "Ketchup Entertainment" "" "$3,535 " "$7,271 " "$705,642 " "1" "13-Jul-07" "2-Aug-07" "21" 3
"350" "Wonder" "11/17/2017" "11/16/2017" "http://www.nytimes.com/2017/11/16/movies/wonder-review-jacob-tremblay-julia-roberts-owen-wilson.html" 1 "“I know I’m not an ordinary 10-year-old kid,” says Auggie (Jacob Tremblay), the lead character of “Wonder,” as we see him standing on his bed wearing an astronaut’s helmet. When the helmet is removed, we know how he knows what he knows: His young face is scarred, his earlobes are little flaps and his eyes are seemingly tear-shaped, giving him a perpetual sad-puppy expression.
The good-natured fellow describes his facial birth defects, and the 27 operations he’s endured to deal with them, as “hilarious.” But Auggie is less amused by the prospect of entering the fifth grade, and no longer being home-schooled by his brilliant and loving mother, Isabel Pullman (Julia Roberts).
The Pullmans are an upper-middle-class family living in a fairy-tale New York, one that the film’s location manager conjured up from the most genteel corners of Brooklyn and Manhattan (as well as New Westminster, British Columbia, where the interior of the family’s brownstone was built on a warehouse stage). So Auggie, whose father, Nate (Owen Wilson), has a job that lets him wear a suit and sneakers, is certainly going to a good school. Nonetheless, he knows that he will encounter bullies, and he does. But Auggie is smart, clever and exceptionally good-hearted (at least when he is not being made to feel self-conscious and alone), and has a knack for winning people over.
The movie, based on the popular children’s novel by R.J. Palacio, hews to the book’s multicharacter narration structure. This tactic reminded me of a line in Jean Renoir’s classic “The Rules of the Game” about everybody having their own reasons for their behavior. In Renoir’s movie, that fact is called a “truly terrible thing.” In the world of this film, understanding another person’s reasons is the first step in establishing meaningful communication. During the section of the film narrated by Auggie’s older sister, Via (Izabela Vidovic), you learn why, in an awkward first conversation with her future boyfriend, she impulsively tells him that she’s an only child, despite the fact that she loves and ardently protects her little brother.
Directed by Stephen Chbosky, who wrote the screenplay with Steve Conrad and Jack Thorne, the movie has a cast that’s wonderful from top to bottom. As Auggie’s parents, Ms. Roberts and Mr. Wilson are doing things we love to see those actors doing. (Ms. Roberts lets loose with her trademark ebullient laugh at least once, and Mr. Wilson explains life’s issues to Auggie in a droll drawl.) All the young people in the ensemble, anchored by Mr. Tremblay’s Auggie, are perfect.
“Wonder” is that rare thing, a family picture that moves and amuses while never overtly pandering. Mr. Chbosky’s 2012 feature, “The Perks of Being a Wallflower,” split the difference between the sentimental heart-tugging associated with more standard Hollywood fare, and the intelligence and intimacy often associated with independent films. He accomplishes something very similar, and equally worthwhile, here." 0.98870248 "Drama" "PG" "Lionsgate" "" "$27,547,866 " "" "" "1,512" "21-Aug-92" "" "" NA
"351" "Wonder Wheel" "12/1/2017" "11/30/2017" "http://www.nytimes.com/2017/11/30/movies/woody-allen-wonder-wheel-kate-winslet-review.html" 0 "“Wonder Wheel,” Woody Allen’s latest movie, is one of his more unfortunate contributions to cinema. It tells the story of a desperately, unhappily married woman whose affair with a local Romeo is derailed when he takes notice of her stepdaughter, whose breasts have been lit to glow like Vermeer peaches. The heart wants what it wants, as Mr. Allen once said by way of explaining his affair with his now wife, Soon-Yi, the daughter of his longtime ex, Mia Farrow. I tend to think it’s a bad idea to put a movie on the couch, but what if it climbs on the couch and then starts winking?
“Wonder Wheel” returns Mr. Allen to Coney Island, the childhood home of his alter ego Alvy Singer, the narrator of “Annie Hall” who claims to have grown up under the amusement park’s roller coaster. (“I have some trouble between fantasy and reality,” Alvy says.) In “Wonder Wheel,” the sad wife, Ginny (Kate Winslet), lives in an apartment that looks directly onto the park’s looming Ferris wheel. The attraction obscures her view of the ocean, literalizing already narrow horizons, and casts deep, expressionistic blue and red light on the apartment’s dilapidated interior and its equally worn inhabitants.
Ginny isn’t all used up, despite the insistently unflattering way she is often presented. She winces and frowns a lot, and the camera conspires with the lighting and makeup to catch every twitch of distress, and the sweaty, oily sheen she never seems able to blot away. It’s no surprise that she’s worried. She works in a clam house on the boardwalk, scrambling for hoi polloi, while back at home she has to juggle her loud, loutish husband, Humpty (Jim Belushi), and her son, Richie (Jack Gore). Like the young Alvy in “Annie Hall,” Richie is a redhead. But while Alvy is depressed about the universe, Richie seems largely troubled by his home life, specifically his demonstrably miserable mother.
So, when Mickey (Justin Timberlake, too modern a presence), a lifeguard and self-described romantic, gives Ginny the once over, she gratefully falls into his arms. “Wonder Wheel” more or less becomes Ginny’s story, but she doesn’t get to own it. The movie is narrated by Mickey, who pops in and out and looks directly into the camera. He has literary ambitions, as he likes to remind us, as well as a pad in Greenwich Village. For a while, Mickey offers Ginny a respite from her everyday grind, at least until the arrival of Carolina (a fine Juno Temple), Humpty’s daughter from an earlier marriage. She’s on the run from her gangster husband. “I know where all the bodies are buried,” Carolina says.
Somewhat of a cultural magpie, Mr. Allen has often folded bits and pieces — and at times entire conceits — from other work into his movies. Mickey mentions Eugene O’Neill, a reference that suggests we’re meant to see something of that playwright in Ginny and Humpty at their most raw and boozily fraught. Mr. Allen’s often blunt, overwrought dialogue, however, also alternately brings to mind Budd Schulberg (“I coulda been a contender”) and imitation Clifford Odets. In some scenes, you almost expect Mr. Belushi, who’s playing his heart out, to start bellowing about someone named Lefty. Much like its gaudy title attraction, “Wonder Wheel” keeps on turning, even while going nowhere.
This is Mr. Allen’s second movie with the cinematographer Vittorio Storaro, who seems to have enjoyed taking the color wheel and camera out for a spin. He gives the story visual flow, even when the characters are in claustrophobic lockdown. And Mr. Storaro keeps your pupils dancing with the light and dark hues. Some of the establishing shots of Coney Island recall the softer side of Technicolor, whereas the violently saturated scenes suggest the vibrancy of the Blue Rider palette. The more extreme colors — including an unlovely orange light that floods Ginny — pushes the whole thing into expressionism even as the movie fluctuates between kitchen-sink realism and hothouse melodrama.
Mr. Allen certainly keeps you busy with all these colors, tones, influences, complications, stereotypes and histrionics, but to little end. As has always been the case with his movies, the actors seem to have delivered the performances they came to the set with, so the strong — in this case, the invaluable Ms. Winslet — are strong while the rest of the cast members do what they can with varying degrees of success. Ginny, who yearns for something better than clam houses and brutality — and who is mercilessly punished for her yearning — could easily have become a monstrous, one-note cliché. But Ms. Winslet fills this shabby character with feverish life. She conveys far more with a single, quietly stunned look than any of Mr. Allen’s speeches or Mr. Storaro’s color changes.
At one point, after Ginny has turned into Blanche DuBois, she announces, “When it comes to love we often turn out to be our own worst enemy.” And not for the first time you wonder what Mr. Allen, who has long blurred fact and fiction, thinks he’s doing here. He couldn’t have anticipated that his name would be in the news because of the allegations of sexual abuse upending the entertainment industry. Yet how could we not think of him? In 1993, he was accused of molesting his daughter, Dylan Farrow. He maintained his innocence and was never prosecuted, yet the allegations as well as discomfort about his marriage to Soon-Yi have hovered over him like a malignant cloud. Critics have often uneasily ignored his history, but he himself seems perversely intent on invoking it." 0.675394155 "Drama" "PG-13" "Amazon Studios" "" "$125,570 " "$1,401,853 " "" "4" "16-Aug-13" "19-Sep-13" "35" 5
"352" "Wonder Woman" "6/2/2017" "5/31/2017" "http://www.nytimes.com/2017/05/31/movies/wonder-woman-review-gal-gadot.html" 1 "“Wonder Woman” begins with ominous, lugubrious music (composed by Rupert Gregson-Williams), a voice-over invocation of “darkness” and an aerial view of the Louvre that seems full of sinister portent. The viewer may be forgiven a shudder of dread. Are we really going to pick up where “Batman v Superman” left off? Must we endure another dose of the grandiose self-pity and authoritarian belligerence that have characterized the DC-Warner Bros. synergy in the “Dark Knight” era? (This is the cue for unhinged fans to come @ me on Twitter and accuse me of being a shill for Marvel and Disney. The rest of you are invited to keep reading.)
The question is not rhetorical, and I’m relieved to report that the answer is no. Once franchise continuity is established — a mysterious package from Bruce Wayne arrives at the office of Wonder Woman’s alter ego, Diana Prince, who works in the Louvre’s antiquities department — we are transported back to the heroine’s earlier life, long before she became mixed up with Wayne and Clark Kent. “Wonder Woman,” directed by Patty Jenkins from a script by Allan Heinberg, briskly shakes off blockbuster branding imperatives and allows itself to be something relatively rare in the modern superhero cosmos. It feels less like yet another installment in an endless sequence of apocalyptic merchandising opportunities than like … what’s the word I’m looking for? A movie. A pretty good one, too.
By which I mean that “Wonder Woman” tells an interesting, not entirely predictable story (until the climax, which reverts, inevitably and disappointingly, to dreary, overblown action clichés). It cleverly combines genre elements into something reasonably fresh, touching and fun. Its earnest insouciance recalls the “Superman” movies of the ’70s and ’80s more than the mock-Wagnerian spectacles of our own day, and like those predigital Man of Steel adventures, it gestures knowingly but reverently back to the jaunty, truth-and-justice spirit of an even older Hollywood tradition.
This is an origin story, first and foremost, establishing the mythic background and modern mission of its main character. That kind of movie can be tedious, but “Wonder Woman” is leavened by touches of screwball comedy, espionage caper and romantic adventure, as well as by what might be the most credible superhero screen kiss since upside-down Tobey Maguire planted one on Kirsten Dunst way back in “Spider-Man.”
